Quiz Block,POST TEST,Scale,Question,Correct answer,Possible Answer 1,Possible Answer 2,Possible Answer 3,Possible Answer 4,Possible Answer 5,Possible Answer 6,Possible Answer 7,Possible Answer 8
CYT-SECTION-1,Mot1,Motivation,I enjoy working with Medical Genetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,SE1,Self-efficacy,I am confident and can understand the basic concepts of Medical Genetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,Mot2,Motivation,Medical Genetics activities are fun to perform,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,SE2,Self-efficacy,I am confident that I understand the most complex concepts related to Medical Genetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,Mot3,Motivation,Medical Genetics is boring,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,SE3,Self-efficacy,I am confident that I can do an excellent job on the assignments and tests in the medical genetics exercises,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,Mot4,Motivation,Medical Genetics does not hold my attention at all,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,SE4,Self-efficacy,I expect to do well in Medical Genetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,Mot5,Motivation,I would describe Medical Genetics as very intersesting,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,SE5,Self-efficacy,I am certain that I can master the skills being taught in Medical Genetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,PC1,PERCIEVED COMPETENCE,I think that I was pretty good at the virtual laboratory,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,EI1,EFFORT IMPORTANCE,I put a lot of effort into the virtual laboratory activity,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,VU2,Value Usefulness,I think that doing the virtual laboratory activity will be useful for my career,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,SA1,SIMULATION ANXIETY,I am nervous about learning in a virtual laboratory simulation,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,Comp1,Competence,I feel more competent in my ability to perform medical genetics activities after the Labster simulation,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
CYT-SECTION-1,Auton1,Autonomy,Laboratory simulations provide more freedom in the learning process than traditional lectures,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,,
