Order,ID,ItemID,Question,Correct Answer,Possible Answer 1,Possible Answer 2,Possible Answer 3,Possible Answer 4,Possible Answer 5,Image,Scale/Category,Category
1,1,Cyto-1-Post,I enjoy working with cytogenetics ,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic motivation,Cyto-Post-Test
2,2,Cyto-2-Post,I am confident and can understnad the basic concepts of cytogenetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self efficacy,Cyto-Post-Test
3,3,Cyto-3-Post,Cytogenetic activities are fun to perform,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic motivation,Cyto-Post-Test
4,4,Cyto-4-Post,I am confident that I understand the most complex concepts related to cytogenetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self efficacy,Cyto-Post-Test
5,5,Cyto-5-Post,Cytogenetics is boring,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic motivation,Cyto-Post-Test
6,6,Cyto-6-Post,I am confident that I can do an excellent job on the assignments and tests in the cytogenetic exercises,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self efficacy,Cyto-Post-Test
7,7,Cyto-7-Post,Cytogenetics does not hold my attention at all,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic motivation,Cyto-Post-Test
8,8,Cyto-8-Post,I expect to do well in cytogenetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self efficacy,Cyto-Post-Test
9,9,Cyto-9-Post,I would describe cytogenetics as very intersesting,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic motivation,Cyto-Post-Test
10,10,Cyto-10-Post,I am certain that I can master the skills being taught in cytogenetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self efficacy,Cyto-Post-Test
11,10a,Cyto-10a-Post,Virtual laboratories can be a good supplement to regular teaching,N/A,Completely disagree,Disagree,Agree,Completely agree,,,Post test motivation,Cyto-Post-Test
12,10b,Cyto-10b-Post,I learned somthing by using this virtual laboratory,N/A,Completely disagree,Disagree,Agree,Completely agree,,,Post test motivation,Cyto-Post-Test
13,10c,Cyto-10c-Post,Virtual laboratories are more motivating than lectures,N/A,Completely disagree,Disagree,Agree,Completely agree,,,Post test motivation,Cyto-Post-Test
14,10d,Cyto-10d-Post,Virtual labatory makes cytogenetics more interesting to work with virtual laboratories,N/A,Completely disagree,Disagree,Agree,Completely agree,,,Post test motivation,Cyto-Post-Test
15,10e,Cyto-10e-Post,Virtual laboratories inspire me to learn more about cytogenetics,N/A,Completely disagree,Disagree,Agree,Completely agree,,,Post test motivation,Cyto-Post-Test
16,10f,Cyto-10f-Post,The Labster Cytogenetics virtual laboratory was motivating,N/A,Completely disagree,Disagree,Agree,Completely agree,,,Post test motivation,Cyto-Post-Test
17,16a,Cyto-16a-Post,Is it motivating to learn the concepts of Medical Genetics through a case story that resembles the real working situation of a doctor?,N/A,Completely disagree,Disagree,Agree,Completely agree,,,Medical article,Cyto-Post-Test
18,16b,Cyto-16b-Post,Did it add to your understanding of the concepts of Cytogenetics to perform the simulation of the laboratory techniques used in cytogenetic analyses?,N/A,Completely disagree,Disagree,Agree,Completely agree,,,Medical article,Cyto-Post-Test
19,16c,Cyto-16c-Post,Do you feel more confident counseling a patient on this subject after using the simulation compared to reading the same content in a textbook?,N/A,Completely disagree,Disagree,Agree,Completely agree,,,Medical article,Cyto-Post-Test
20,10g,Cyto-10g-Post,"In general, what was your opinion about the Cytogenetics virtual laboratory in Labster",N/A,Very poor,Poor,Fair,Good,Excellent,,Post test motivation,Cyto-Post-Test
21,11,Cyto-11-Post,A young man is diagnosed with Klinefelter syndrome. What are his chances ofr having healthy children without medical assistance?,"In most cases, men with Klinefelter syndrome are infertile",Men with Klinefelter syndrome are fertile.  They do not have a significant increased risk of having abnormal offspring.  ,"In most cases, men with Klinefelter syndrome are infertile","Men with Klinefelter syndrome are fertile, but they have a significantly increased risk of having abnormal offspring","In rare cases, men with Klinefelter syndrome are infertile. When they do have kids, their children will most likely carry translocations. ",,,From Anne,Cyto-Post-Test
22,13,Cyto-13-Post,George and Daisy have two sons with Down's syndrome. George's brother Henry has Down's sydrome. His sister Beth has a daughter with Down's syndrome. Which of the following statements is most likely to be correct?,George's sister Beth has 45 chromosomes,George and Daisy's sons both have 47 chromosomes,George's brother Henry has 45 chromosomes,George's sister Beth has 45 chromosomes,George has 46 chromosomes,,,From Anne,Cyto-Post-Test
23,15,Cyto-15-Post,"A woman experiences a spontaneous abortion. The aborted fetus has the karyotype 47,XY,+8. An investigation of a polymorphic DNA marker on chromosome 8 showed that the fetus and parents had the following alleles: Mother: allele 2 and 6, Father: allele 3 and 5, Fetus: allele 3 and 6. The trisomy can be explained by non-disjunction in meiosis. Which parent and in what meiotic division did this non-disjunction take place?",Only in the second meiotic division in either the mother or the father,Only in the second meiotic division in either the mother or the father,Only in the mother in her first or second meiotic division,"Only in the mother, and only in her second meiotic division",Only in the father in his first or second meiotic division,,,From Anne,Cyto-Post-Test
24,16,Cyto-16-Post,"Which of the following karyotypes are most likely to be found in a three month old child of a parent who carries a balanced Robertsonian translocation 45,XX,der(14;21)(q10;q10)?","46,XX,der(14;21)(q10;q10),+21","46,XX,der(14;21)(q10;q10),+21","46,XX,der(14;21)(q10;q10),+14","47,XX,+21","45,XX,der(14;14)(q10;q10)",,,From Anne,Cyto-Post-Test
25,18,Cyto-18-Post,"Individuals with three copies of autosomal chromosomes normally do not survive (except trisomies of e.g. 13, 18 and 21), whereas individuals with an extra X chromosome have relatively mild phenotypes. Why?",The extra X chromosomes will be inactivated,The X chromosome carries fewer genes than the autosomes,The X chromosome only determines the sex of the individual,All of the autosomes are acrocentric,The extra X chromosomes will be inactivated,,,From Anne,Cyto-Post-Test
26,19,Cyto-19-Post,A woman has Turner syndrome and X-linked recessive colorblindness. Her father has normal vision and her uncle (mother's brother) is colorblind. A non-disjunction event occured that led to her chromosomal aberration. When and where did it take place?,On her father's first or second meiotic division,On her mother's first or second meiotic division,On her father's first or second meiotic division,On her mother's first or father's first meiotic division,Only on her father's second meiotic division,,,From Anne,Cyto-Post-Test
27,21,Cyto-21-Post,Can a person with Turners syndrome become pregnant and give birth to a child? Select the most correct statement.,"In very rare cases, she can become pregnant and give birth","In very rare cases, she can become pregnant and give birth","Yes, she can become pregnant and give birth",It is most likely that she can become pregnant and give birth,"She can become pregnant and give birth, but all of the children will have serious chromosomal abnormalities",,,From Anne,Cyto-Post-Test
28,22,Cyto-22-Post,"Karyotype analysis of an infertile man reveals 46,XX. How can such a karyotype originate?",By translocation of a part of the Y chromosome on to one of the X chromsomes,"By duplication of the Y chromosome, so that it can no longer be recognized",By non-disjunction of the Y chromosome during the second meiotic division,By translocation of a part of the Y chromosome on to one of the X chromsomes,"By deletion of the centromere region of the Y chromosome, which leads to loss of the Y",,,From Anne,Cyto-Post-Test
29,23,Cyto-23-Post,The figure shows the results of a fluorescent in situ hybridization (FISH) analysis. Which probes were used and what does the analysis reveal?,It used paint probes (spectral karyotyping) recognizing chromosome 2 and 13 to reveal a reciprocal translocation between these two chromosomes,It used probes recognizing the centromere regions of chromosome 2 and 13 revealing a Robertsonian translocation between these two chromosomes,It used probes recognizing two frequent sequences in the genome showing the localization of these sequences in a normal man,It used paint probes (spectral karyotyping) recognizing chromosome 2 and 13 revealing an inversion on each of these two chromosomes,It used paint probes (spectral karyotyping) recognizing chromosome 2 and 13 to reveal a reciprocal translocation between these two chromosomes,,https://labsterim.s3.amazonaws.com/media/uploads/adaptive-cyto/Question_32.jpg,From Anne,Cyto-Post-Test
30,25,Cyto-25-Post,"A healthy man carries a balanced reciprocal translocation which can be described by: 46,XY,t(1;18)(p22;q23). What does this karyotype mean for his chances of getting normal and healthy children?","He can have healthy children, if he passes on the normal chromosomes 1 and 18, or if he passes on the two derivative chromosomes so that the child becomes a carrier of the same balanced translocation","He can not have healthy children, as he will always passes on one or both of the two derivative chromosomes so that the child becomes a carrier of an unbalanced translocation","He can in very rare cases have healthy children, but only if he passes on the normal chromosomes 1 and 18",He will only have healthy children since his translocation is balanced,"He can have healthy children, if he passes on the normal chromosomes 1 and 18, or if he passes on the two derivative chromosomes so that the child becomes a carrier of the same balanced translocation",,,From Anne,Cyto-Post-Test
31,26,Cyto-26-Post,Which one of the following karyotypes do you NOT expect to find in a patient with Down's syndrome?,"45,XX,der(21;21)(q10;q10)","46,XY,der(14;21)(q10;q10),+21","46,XX,der(21;21)(q10;q10)","45,XX,der(21;21)(q10;q10)","47,XX,+21",,,From Anne,Cyto-Post-Test
32,28,Cyto-28-Post,"If an infertile man has one Barr body in his cell nuclei, which of the following is most likely to be his karyotype?","47,XXY","45,X","47,XXY","46,XY","45,XY,der(22;22)(q10;q10)",,,From Anne,Cyto-Post-Test
33,29,Cyto-29-Post,"When preparing the chromosomes for karyotyping, why do we add colcemid (or colchicine) to the cells?",To stop the cell division in metaphase where the chromosomes are most condensed,To stop the cell division and reduce the number of cells in the final sample,To stimulate the cells to divide,To stop the cell division in metaphase where the chromosomes are most condensed,To label the chromosomes for visualization,,,From Anne,Cyto-Post-Test
34,30,Cyto-30-Post,What chromosomal rearrangement must have taken place in order to change the chromosome on the left into the derivative chromosome on the right?,Pericentric inversion,Paracentric inversion,Pericentric inversion,Reciprocal translocation,Duplication,,Question_30https://labsterim.s3.amazonaws.com/media/uploads/adaptive-cyto/Question_30.jpg,From Anne,Cyto-Post-Test
35,32,Cyto-32-Post,"The person with the above karyotype has no symptoms of any genetic disease, but what is the risk for his children to have consequences due to the translocation he carries?",There is a risk for him to have children with Down's syndrome or miscarriages as well as possibility to have normal children,He can not have children,There is no risk of chromosome abnormalities for his children due to his translocation,All his children will have Down's syndrome,There is a risk for him to have children with Down's syndrome or miscarriages as well as possibility to have normal children,,Question_32https://labsterim.s3.amazonaws.com/media/uploads/adaptive-cyto/Question_32.jpg,From Anne,Cyto-Post-Test
36,33,Cyto-33-Post,"A child is born with the karyotype 47,XXX. This can be caused by non-disjunction, but what can we determine about in who and at which meiotic division?","It can be in the mother, her first or second meiotic division, or in the second meiotic division in the father","It has to be in the mother, her first or second meiotic division","It can be in the mother, her first or second meiotic division, or in the second meiotic division in the father","It can only be in the father, his first meiotic division","It can only be in the second meiotic division, in either the mother or the father",,,From Anne,Cyto-Post-Test
