Order,ID,ItemID,Question,Correct Answer,Possible Answer 1,Possible Answer 2,Possible Answer 3,Possible Answer 4,Possible Answer 5,Image,Categories,Category
1,1,Cyto-1-Pre,I enjoy working with cytogenetics very much,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic motivation,Cyto-Pre-Test
2,2,Cyto-2-Pre,I am confident that I can understand the basic concepts in cytogenetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self efficacy,Cyto-Pre-Test
3,3,Cyto-3-Pre,Cytogenetics activities are fun to do,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic motivation,Cyto-Pre-Test
4,4,Cyto-4-Pre,I am confident that I can understand the most complex concepts related to cytogenetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self efficacy,Cyto-Pre-Test
5,5,Cyto-5-Pre,Cytogenetics is boring,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic motivation,Cyto-Pre-Test
6,6,Cyto-6-Pre,I am confident that I can do an excellent job on the assignments and tests in the cytogenetics exercise,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self efficacy,Cyto-Pre-Test
7,7,Cyto-7-Pre,Cytogenetics does not hold my attention at all,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic motivation,Cyto-Pre-Test
8,8,Cyto-8-Pre,I expect to do well in cytogenetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self efficacy,Cyto-Pre-Test
9,9,Cyto-9-Pre,I would describe cytogenetics as very intersesting,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Intrinsic motivation,Cyto-Pre-Test
10,10,Cyto-10-Pre,I am certain that I can master the skills being taught in cytogenetics,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,Self efficacy,Cyto-Pre-Test
11,11,Cyto-11-Pre,A young man is diagnosed with Klinefelter syndrome. What are his chances of having healthy children?,In most cases men with Klinefelter syndrome are infertile,Men with Klinefelter syndrome are fertile and they have no significantly increased risk of having abnormal offspring,In most cases men with Klinefelter syndrome are infertile,"Men with Klinefelter syndrome are fertile, but they have a significantly increased risk of having abnormal offspring","In rare cases men with Klinefelter syndrome are infertile and if they have children, there is a high risk that these carry translocations",,,From Anne,Cyto-Pre-Test
12,12,Cyto-12-Pre,"The microarray slide that we use in the array CGH contains thousands of spots, what is in each spot?",Multiple copies of a DNA probe recognizing a specific part of the genome.,A specific antibody that is bound to the slide surface.,"One copy of each of many DNA probes, which binds to the reference DNA from the normal control.",Multiple copies of a DNA probe recognizing a specific part of the genome.,A fluorescent dye.,,,Cytogenetics lab,Cyto-Pre-Test
13,13,Cyto-13-Pre,George and Daisy have two sons with Down's syndrome. George's brother Henry has Downs syndrome; George's sister Beth has a daughter with Downs syndrome. Which of the following statements is most likely correct?,George's sister Beth has 45 chromosomes,George and Daisy's sons both have 47 chromosomes,George's brother Henry has 45 chromosomes,George's sister Beth has 45 chromosomes,George has 46 chromosomes,,,From Anne,Cyto-Pre-Test
14,14,Cyto-14-Pre,See the image and fill in the blanks with the correct letters that match the terms provided. Centromere: ___ 5p14:  ___ 5q43:  ___ p arm: ___ q arm: ___,"C, B, E, A, D.","C, E, B, D, A.","C, B, E, D, A.","C, A, D, B, E.","C, B, E, A, D.",,https://labsterim.s3.amazonaws.com/media/uploads/adaptive-cyto/Question_14.JPG,Cytogenetics lab,Cyto-Pre-Test
15,15,Cyto-15-Pre,"A woman experiences a spontaneous abortion. The aborted fetus has the karyotype 47,XY,+8. An investigation of a polymorphic DNA marker on chromosome 8 showed that the fetus and parents had the following alleles: Mother: allele 2 and 6, Father: allele 3 and 5, Fetus: allele 3 and 6. The trisomy can be explained by non-disjunction in meiosis. Which parent and meiotic division did this non-disjunction take place?",Only in the second meiotic division in either the mother or the father,Only in the second meiotic division in either the mother or the father,Only in the mother in her first or second meiotic division,"Only in the mother, and only in her second meiotic division",Only in the father in his first or second meiotic division,,,From Anne,Cyto-Pre-Test
16,16,Cyto-16-Pre,"Which of the following karyotypes are most likely found in a three month old child of a parent who carries a balanced Robertsonian translocation 45,XX,der(14;21)(q10;q10)?","46,XX,der(14;21)(q10;q10),+21","46,XX,der(14;21)(q10;q10),+21","46,XX,der(14;21)(q10;q10),+14","47,XX,+21","45,XX,der(14;14)(q10;q10)",,,From Anne,Cyto-Pre-Test
17,17,Cyto-17-Pre,We culture cells from amniotic fluid and blood sample to obtain any dividing cells. Why do we need dividing cells for the karyotyping?,Chromosomes are condensed and are visible during the metaphase of mitosis.,Only dividing cells will have chromosomal abnormalities.,We need many cells.,Chromosomes are condensed and are  visible during the metaphase of mitosis.,Chromosonal labeling takes place during replication.,,,Cytogenetics lab,Cyto-Pre-Test
18,18,Cyto-18-Pre,"Individuals with three copies of autosomal chromosomes normally do not survive (except trisomies of e.g. 13, 18 and 21), whereas individuals with an extra X chromosome have relatively mild phenotypes. Why?",The extra X chromosomes will be inactivate,X chromosome carries fewer genes than autosomes,The X chromosome only determines the sex of the individual,All autosomes are acrocentric,The extra X chromosomes will be inactivated,,,From Anne,Cyto-Pre-Test
19,19,Cyto-19-Pre,A woman has Turner syndrome and X-linked recessive colorblindness. Her father has normal vision and her uncle (mother's brother) is colorblind. A non-disjunction event occured that led to her chromosomal aberration. When and where did this take place?,During  her father's first or second meiotic division,During her mother's first or second meiotic division,During her father's first or second meiotic division,During her mother's first or father's first meiotic division,Only during her father's second meiotic division,,,From Anne,Cyto-Pre-Test
20,20,Cyto-20-Pre,What is a Copy Number Variation (CNV)?,"A DNA segment (minimum 1000 base pairs) that is present in a varying number of copies in different individuals and in rare cases, associated with disease.",A DNA segment where one base is repeated a varying amount of times.,"A DNA duplication with a minimum of 1000 base pairs, which always causes disease.",A DNA polymorphism (a deletion of less than 1000 base pairs) which never causes disease.,"A DNA segment (minimum 1000 base pairs) that is present in a varying number of copies in different individuals and in rare cases, is associated with disease.",,,Cytogenetics lab,Cyto-Pre-Test
21,21,Cyto-21-Pre,Can a person with Turner's syndrome become pregnant and give birth to a child? Select the most correct statement.,"In very rare cases, she can become pregnant and give birth","In very rare cases, she can become pregnant and give birth","Yes, she can become pregnant and give birth",It is most likely that she can become pregnant and give birth,"She can become pregnant and give birth, but all of the children will have serious chromosomal abnormalities",,,From Anne,Cyto-Pre-Test
22,22,Cyto-22-Pre,"Karyotype analysis of an infertile man reveals 46,XX. How can such a karyotype originate?",By translocation of a part of the Y chromosome on to one of the X chromsomes,"By duplication of the Y chromosome, so that it can no longer be recognized",By non-disjunction of the Y chromosome during the second meiotic division,By translocation of a part of the Y chromosome on to one of the X chromsomes,"By deletion of the centromere region of the Y chromosome, which leads to loss of the Y",,,From Anne,Cyto-Pre-Test
23,23,Cyto-23-Pre,The figure shows the results of a fluorescent in situ hybridization (FISH) analysis. Which probes were used and what does the analysis reveal?,It used paint probes (spectral karyotyping) recognizing chromosome 2 and 13 to reveal a reciprocal translocation between these two chromosomes,It used probes recognizing centromere regions of chromosome 2 and 13 revealing a Robertsonian translocation between these two chromosomes,It used probes recognizing two frequent sequences in the genome showing the localization of these sequences,It used paint probes (spectral karyotyping) recognizing chromosome 2 and 13 revealing an inversion on each of these two chromosomes,It used paint probes (spectral karyotyping) recognizing chromosome 2 and 13 to reveal a reciprocal translocation between these two chromosomes,,https://labsterim.s3.amazonaws.com/media/uploads/adaptive-cyto/Question_32.jpg,From Anne,Cyto-Pre-Test
24,24,Cyto-24-Pre,What happens when a reciprocal translocation occurs?,"In a reciprocal translocation, two non-homologous chromosomes exchange segments.","In a reciprocal translocation, two chromosomes of the acrocentric type fuse together.","In a reciprocal translocation, a part of a chromosome is duplicated, which means that a part is copied and inserted into an extra copy.","In a reciprocal translocation, two non-homologous chromosomes exchange segments.","In a reciprocal translocation, two homologous (from the same pair) chromosomes exchange segments.",,,Cytogenetics lab,Cyto-Pre-Test
