Image,Question,Correct answer,Wrong answer,Wrong answer,Wrong answer,No,ID
https://labsterim.s3.amazonaws.com/media/uploads/adaptice%20cytogenetics/Pedigree_8.jpg,The figure depicts a pedigree of a family affected with congenital deafness. The disease is inherited with full penetrance. Below each individual the alleles of a DNA marker closely linked to a common deafness gene are shown. Will the fetus in generation IV be affected with deafness?,Yes,"No, but it will be a carrier","No, it will be homozygous for the normal allele",Only if it is a boy,1,Cyto-150105-1-Post
,"A young man is diagnosed with Myoclonic Epilepsy with Ragged Red Fibers (MERRF syndrome), which is caused by a mutation in the mitochondrial DNA. His mother and two sisters have the same disease. What is the risk of MERRF syndrome in his future children? ",The risk is 0%,The risk is 100%,The risk is 1/2 * 1/2 = 1/4,The risk is 2/3 * 1/2 = 1/3,2,Cyto-150105-2-Post
,"Canavan disease is a serious metabolic disorder with an expected lifespan of 10-15 years. The disease is particularly frequent in some populations, e.g. Ashkenazi Jews, where 80% are homozygous for the mutation E285A. Both boys and girls are affected with equal frequency. Based on these informations, what is the mode of inheritance of Canavan disease? ",Autosomal recessive,Autosomal dominant,X-linked recessive,X-linked dominant,3,Cyto-150105-3-Post
,"Male patients suffering from the X-linked recessive disorder Fabry disease have mutations in the alpha-galactosidase gene, and enzyme activity of alpha-galactosidase between 0 and 12 units. Normal individuals have enzyme activities of more than 75 units. The sister to a boy suffering from Fabry disease has weak symptoms and an enzyme activity of 32 units. What explains this?",She is heterozygous for the Fabry mutation and have skewed X-chromosome inactivation,She is homozygous for the Fabry mutation,She is compound heterozygous for the Fabry mutation,She shows reduced penetrance,4,Cyto-150105-4-Post
,"The APC gene is associated with Familial Adenomatous Polyposis (FAP), a colon cancer disorder. Investigation of a DNA polymorphism closely linked to the APC gene in blood and tumor tissue from a young woman suffering from FAP showed two alleles in the blood DNA but only one allele in the tumor DNA. Her father also suffered from FAP. How can this be explained?",An inherited APC mutation combined with a deletion of the normal allele of APC and one allele of the DNA polymorphism,An inherited APC mutation combined with a nucleotide substitution in the normal allele of APC ,Deletion of both alleles of the APC gene and the DNA polymorphism,Mutation in one allele of the DNA polymorphism,5,Cyto-150105-5-Post
,"Patients with Tuberous sclerosis develop benign tumors in various organs, but the number of tumors and severity of the disease varies greatly. The disease has an autosomal dominant mode of inheritance and displays reduced penetrance. What mechanism can explain the variable expressivity?",Knudsons Two Hit model with variation in the location and frequency of second hit,Dominant negative effects of the protein product from the mutated allele,Somatic allele heterogeneity,Different epigenetic modifications in different organs,6,Cyto-150105-6-Post
,"Phenylketonuria (PKU) displays an autosomal recessive mode of inheritance. What is the risk of having a child with PKU, if the mother has a brother with the disease, and the father is from a normal population, in which the incidence of PKU is 1/10.000?","The risk is 2/3 * 1/2 * 2 * 1 * √1/10000 * 1/2 = 0,0033","The risk is 2/3 * 1/2 * 2 * 1 * 1/10000 * 1/2 = 0,000033","The risk is 1/2 * 1/2 * 2 * 1 * √1/10000 * 1/2 = 0,0025","The risk is 2/3 * 1/2 * 2 * 1 * 1/10000 = 0,000067",7,Cyto-150105-7-Post
https://labsterim.s3.amazonaws.com/media/uploads/adaptice%20cytogenetics/Pedigree_10.jpg,The figure shows the pedigrees of two families with Retinitis Pigmentosa. This rare disease shows genetic heterogeneity and full penetrance. What is the risk that the fetus V.1 is affected?,The risk is 1/2,The risk is 1/8,The risk is 1/4,The risk is 1/6,8,Cyto-150105-8-Post
,"If 8 % of men in a population are affected with X-linked recessive Red-Green Color Blindness, then what is the frequency of affected women?",0.08 * 0.08 = 0.0064,2 * 0.92 * 0.08 = 0.15,2 * 1 * √0.08 = 0.57,√0.08 * √0.08 = 0.08,9,Cyto-150105-9-Post
,"If Huntington's disease, an autosomal dominant inherited disorder, is found with a frequency of 4/100000, then what is the allele frequency of the disease-causing allele?",4/200000 = 2/100000,"√4/100000 = 0,0063","2 * 1 * √4/100000 = 0,013",4/100000,10,Cyto-150105-10-Post
,"If a girl with Turners syndrome has X-linked recessive red-green color blindness, and the girls father has red-green color blindness, then her chromosome disorder has originated through non-disjunction, but when and in who?",Either the first or the second meiotic division in the mother,Either the first or the second meiotic division in the father,The first meiotic division in either the mother or the father,The second meiotic division in either the mother or the father,11,Cyto-150105-11-Post
,"A man, with the karyotype 46,XY,t(2;4)(p25.1;q31.3), and a normal phenotype, has a daughter with numerous malformations and the karyotype 46,XX,der(2)t(2;4)(p25.1;q31.3). A FISH analysis of the daughter with probes recognizing the centromers of chromosomes 2 and 4, respectively, revealed two signals from each probe. Which of the following statements is correct?",The daughter has partial monosomy of chromosome 2 and partial trisomy of chromosome 4.,The daughter has partial trisomy of chromosome 2 and partial monosomy of chromosome 4.,The daughter has monosomy of chromosome 2 and trisomy of chromosome 4.,The daughter has partial trisomy of chromosome 2 and partial trisomy of chromosome 4.,12,Cyto-150105-12-Post
https://labsterim.s3.amazonaws.com/media/uploads/adaptice%20cytogenetics/Pedigree_9.jpg,In the figure the pedigree of a family affected with Fabry disease is shown. Below are listed for selected individuals the alleles of a DNA marker linked to the Fabry gene. What is the most likely mode of inheritance of this rare disorder?,X-linked recessive,X-linked dominant,Autosomal recessive,Autosomal dominant,13,Cyto-150105-13-Post
,"Marfan syndrome displays a wide range of different symptoms, and members of the same family can show very different phenotypes. Which concept describes this?",Variable expressivity,Allele heterogeneity,Reduced penetrance,Locus heterogeneity,14,Cyto-150105-14-Post
