No,ID,Question,Correct Answer,Possible Answer 1,Possible Answer 2,Possible Answer 3,Possible Answer 4,Possible Answer 5,Image,Categories,Direction for scoring,Recieve feedback,Final Question,QuizBlock
1,Op1,"Is original, comes up with new ideas",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,oppeness,,yes,"I see myself as someone who is original, comes up with new ideas",QuizblockSection1
2,Co1,Does a thorough job,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,concienciousness,,yes,I see myself as someone who does a thorough job,QuizblockSection1
3,Ex1,Is reserved,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,extroversion,negative,yes,I see myself as someone who is reserved,QuizblockSection1
4,Ag1,Tends to find fault with others,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,agreableness,negative,yes,I see myself as someone who tends to find fault with others,QuizblockSection1
5,Ne1,Can be tense,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,neuroticism,,yes,I see myself as someone who can be tense,QuizblockSection1
6,Op2,Is curious about many things,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,oppeness,,yes,I see myself as someone who is curious about many things,QuizblockSection1
7,Co2,Is reliable,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,concienciousness,,yes,I see myself as someone who is reliable,QuizblockSection1
8,Ex2,Is full of energy,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,extroversion,,yes,I see myself as someone who is full of energy,QuizblockSection1
9,Ag2,Is helpful and unselfish with others,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,agreableness,,yes,I see myself as someone who is helpful and unselfish with others,QuizblockSection1
10,Ne2,"Is relaxed, handles stress well",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,neuroticism,negative,yes,"I see myself as someone who is relaxed, handles stress well",QuizblockSection1
11,Op3,Prefers work that is routine,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,oppeness,negative,yes,I see myself as someone who prefers work that is routine,QuizblockSection1
12,Co3,Preservers until the task is finished,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,concienciousness,,yes,I see myself as someone who preservers until the task is finished,QuizblockSection1
13,Ex3,Is assertive,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,extroversion,,yes,I see myself as someone who is assertive,QuizblockSection1
14,Ag3,Has a forgiving nature,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,agreableness,,yes,I see myself as someone who has a forgiving nature,QuizblockSection1
15,Ne3,Worries a lot,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,neuroticism,,yes,I see myself as someone who worries a lot,QuizblockSection1
16,Op4,Is inventive,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,oppeness,,yes,I see myself as someone who is inventive,QuizblockSection1
17,Co4,Tends to be disorganized,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,concienciousness,negative,yes,I see myself as someone who tends to be disorganized,QuizblockSection1
18,Ex4,"Is sometimes shy, inhibited",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,extroversion,negative,yes,"I see myself as someone who is sometimes shy, inhibited",QuizblockSection1
19,Ag4,Is generally trusting,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,agreableness,,yes,I see myself as someone who is generally trusting,QuizblockSection1
20,Ne4,Can be moody,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,neuroticism,,yes,I see myself as someone who can be moody,QuizblockSection1
21,Op5,"Likes to reflect, play with ideas",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,oppeness,,yes,"I see myself as someone who likes to reflect, play with ideas",QuizblockSection1
22,Co5,Makes plans and follow through with them,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,concienciousness,,yes,I see myself as someone who makes plans and follow through with them,QuizblockSection1
23,Ex5,"Is outgoing, sociable",N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,extroversion,,yes,"I see myself as someone who is outgoing, sociable",QuizblockSection1
24,Ag5,Is considerate and kind to almost everyone,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,agreableness,,yes,I see myself as someone who is considerate and kind to almost everyone,QuizblockSection1
25,Ne5,Gets nervous easily,N/A,Completely disagree,Disagree,Neither agree nor disagree,Agree,Completely agree,,neuroticism,,yes,I see myself as someone who Gets nervous easily,QuizblockSection1
